Bib ID,Tipo,Autor,Año,Título,Revista o editorial,Volumen,Número,Páginas,Ciudad,DOI,URL,ISBN,ISSN,Cobertura geográfica,Temas,Idioma,Estado de verificación,Notas,Cita sugerida
BIB-L-0011,Libro,"Henao, Januario",1905,Cuentos y cantares populares antioqueños,Tipografía del Comercio,,,,Medellín,,,,,,,,No verificado externamente,,"Henao, Januario. (1905). Cuentos y cantares populares antioqueños. Tipografía del Comercio."
BIB-L-0012,Libro,"Abadía, Herminia. Gómez Jaime de",1907,Leyendas y notas históricas,"Imprenta Nacional,",,,,Bogotá,,,,,,,,No verificado externamente,,"Abadía, Herminia. Gómez Jaime de. (1907). Leyendas y notas históricas. Imprenta Nacional,."
BIB-L-0013,Libro,"Salas, Julio",1908,Tierra firme. Estudios sobre etnología e historia,Paz y Trabajo,,,,Mérida,,,,,,,,No verificado externamente,,"Salas, Julio. (1908). Tierra firme. Estudios sobre etnología e historia. Paz y Trabajo."
BIB-L-0014,Libro,"Koch-Grünberg, Theodor",1910,Zwei Jahre unter der Indianer,Ernst Wasmuth,,,,Berlín,,,,,,,,No verificado externamente,,"Koch-Grünberg, Theodor. (1910). Zwei Jahre unter der Indianer. Ernst Wasmuth."
BIB-L-0015,Libro,"Suárez, Marco Fidel",1910,El castellano en mi tierra,Imprenta Eléctrica,,,,Bogotá,,,,,,,,No verificado externamente,,"Suárez, Marco Fidel. (1910). El castellano en mi tierra. Imprenta Eléctrica."
BIB-L-0016,Libro,"Fabo, Pedro",1912,Idiomas y etnografía de la región oriental de Colombia,José Benet,,,,Barcelona,,,,,,,,No verificado externamente,,"Fabo, Pedro. (1912). Idiomas y etnografía de la región oriental de Colombia. José Benet."
BIB-L-0017,Libro,"Paul, Rivet",1913,"Pamplona. Descriptión, tradiciones y leyendas, historia","Imprenta de la diocesis,",,,,[Pamplona?],,,,,,,,No verificado externamente,,"Paul, Rivet. (1913). Pamplona. Descriptión, tradiciones y leyendas, historia. Imprenta de la diocesis,."
BIB-L-0018,Libro,"Cuervo Márquez, Luis",1915,Geografía médica y patológica de Colombia,Camacho Roldán,,,,Bogotá,,,,,,,,No verificado externamente,,"Cuervo Márquez, Luis. (1915). Geografía médica y patológica de Colombia. Camacho Roldán."
BIB-L-0019,Libro,"Robledo, Emilio",1916,Geografía médica y nosológica del Departamento de Caldas,Imprenta del Departamento,,,,Manizales,,,,,,,,No verificado externamente,,"Robledo, Emilio. (1916). Geografía médica y nosológica del Departamento de Caldas. Imprenta del Departamento."
BIB-L-0020,Libro,"Calle, Manuel J.",1918,Leyendas del tiempo heroico; episodios de la guerra de la independencia américana.,Editorial-América,,,,Madrid,,,,,,,,No verificado externamente,,"Calle, Manuel J.. (1918). Leyendas del tiempo heroico; episodios de la guerra de la independencia américana.. Editorial-América."
BIB-L-0021,Libro,"Ibi, Camilo de",1919,Etnografía de los Motilones,Casa Editorial de Arboleda y Valencia,,,,Bogotá,,,,,,,,No verificado externamente,,"Ibi, Camilo de. (1919). Etnografía de los Motilones. Casa Editorial de Arboleda y Valencia."
BIB-L-0022,Libro,"Lanao, M. E.",1920,"Apuntaciones críticas sobre el idioma castellano. Provincialismos de Rioacha, etc.",Mogollón,,,,Santa Marta,,,,,,,,No verificado externamente,,"Lanao, M. E.. (1920). Apuntaciones críticas sobre el idioma castellano. Provincialismos de Rioacha, etc.. Mogollón."
BIB-L-0023,Libro,"Uribe Piedrahíta, César",1920,Apuntaciones sobre la geografía médica de Urabá. Tesis de grado,Universidad de Antioquia,,,,Medellín,,,,,,,,No verificado externamente,,"Uribe Piedrahíta, César. (1920). Apuntaciones sobre la geografía médica de Urabá. Tesis de grado. Universidad de Antioquia."
BIB-L-0024,Libro,"Coutinho de Oliveira, José",1921,Folclore amazónica. Lendas,Editorial Seao,,,,Pará,,,,,,,,No verificado externamente,,"Coutinho de Oliveira, José. (1921). Folclore amazónica. Lendas. Editorial Seao."
BIB-L-0025,Libro,"Merizalde del Carmen, Bernardo",1921,Estudio de la Costa Colombiana del Pacífico,Imprenta del Estado Mayor General,,,,Bogotá,,,,,,,,No verificado externamente,,"Merizalde del Carmen, Bernardo. (1921). Estudio de la Costa Colombiana del Pacífico. Imprenta del Estado Mayor General."
BIB-L-0026,Libro,"Preuss, Konrad Theodor",1921,Religion und Mythologie der Huitoto,Vandenhoeck y Ruprecht,,,,Gotinga,,,,,,,,No verificado externamente,,"Preuss, Konrad Theodor. (1921). Religion und Mythologie der Huitoto. Vandenhoeck y Ruprecht."
BIB-L-0027,Libro,"Sundheim, Adolfo",1922,Vocabulario costeño o lexicograña de la región septentrional de Colombia,"Librería Cervantes,",,,,París,,,,,,,,No verificado externamente,,"Sundheim, Adolfo. (1922). Vocabulario costeño o lexicograña de la región septentrional de Colombia. Librería Cervantes,."
BIB-L-0028,Libro,"Forero, Manuel José",1924,"Leyendas históricas de Santa Fé y Bogota, primera serie","Editorial de Cromos,",,,,Bogotá,,,,,,,,No verificado externamente,,"Forero, Manuel José. (1924). Leyendas históricas de Santa Fé y Bogota, primera serie. Editorial de Cromos,."
BIB-L-0029,Libro,"Forero, Manuel José",1924,"Leyendas históricas de Santa Fé y Bogota, primera serie","Editorial de Cromos,",,,,Bogotá,,,,,,,,No verificado externamente,,"Forero, Manuel José. (1924). Leyendas históricas de Santa Fé y Bogota, primera serie. Editorial de Cromos,."
BIB-L-0030,Libro,"Hurtado, Guillermo",1924,Los Noanamaes,Editorial ABC,,,,Quibdó,,,,,,,,No verificado externamente,,"Hurtado, Guillermo. (1924). Los Noanamaes. Editorial ABC."
BIB-L-0031,Libro,"Santa Teresa, Severino de",1924,"Creencias, ritos, usos y costumbres de los indios Catíos de la Prefectura Apostólica de Urabá",Imprenta de San Bernardo,,,,Bogotá,,,,,,,,No verificado externamente,,"Santa Teresa, Severino de. (1924). Creencias, ritos, usos y costumbres de los indios Catíos de la Prefectura Apostólica de Urabá. Imprenta de San Bernardo."
BIB-L-0032,Libro,"Belinder, Gustaf",1925,Die indianer der Tropischen Schneegerbige,Forachungen im Noerdlichen Südamerike,,,,Stuttgart,,,,,,,,No verificado externamente,,"Belinder, Gustaf. (1925). Die indianer der Tropischen Schneegerbige. Forachungen im Noerdlichen Südamerike."
BIB-L-0033,Libro,Anónimo,1926,"Historia natural de los fantasmas cuentos misteriosos, leyendas.",Bogotá Ed. Colombia,,,,,,,,,,,,No verificado externamente,,"Anónimo. (1926). Historia natural de los fantasmas cuentos misteriosos, leyendas.. Bogotá Ed. Colombia."
BIB-L-0034,Libro,Anónimo,1926,"Historia natural de los fantasmas cuentos misteriosos, leyendas.","Ed. Colombia,",,,,Bogotá,,,,,,,,No verificado externamente,,"Anónimo. (1926). Historia natural de los fantasmas cuentos misteriosos, leyendas.. Ed. Colombia,."
BIB-L-0035,Libro,"Fabo, Pedro",1926,Historia de la ciudad de Manizales. 2 vols,Editorial Blanco y Negro,,,,Madrid,,,,,,,,No verificado externamente,,"Fabo, Pedro. (1926). Historia de la ciudad de Manizales. 2 vols. Editorial Blanco y Negro."
BIB-L-0036,Libro,"Mason, Alden",1926,Use of tobacco in México and South American,Field Museum of Natural History,,,,Chicago,,,,,,,,No verificado externamente,,"Mason, Alden. (1926). Use of tobacco in México and South American. Field Museum of Natural History."
BIB-L-0037,Libro,"Grubb, K. G.",1927,"The lowland indians of Amazonía. A survey of the location and religious conditions of the indians of Colombia, Venezuela, Guianas, Ecuador, Perú, Brasil and Bolivia",World Dominíon: Press,,,,Londres,,,,,,,,No verificado externamente,,"Grubb, K. G.. (1927). The lowland indians of Amazonía. A survey of the location and religious conditions of the indians of Colombia, Venezuela, Guianas, Ecuador, Perú, Brasil and Bolivia. World Dominíon: Press."
BIB-L-0038,Libro,"Mendía, Uiro",1927,En torno a la poesía popular,Antonio J. Cano,,,,Medellín,,,,,,,,No verificado externamente,,"Mendía, Uiro. (1927). En torno a la poesía popular. Antonio J. Cano."
BIB-L-0039,Libro,"Otero Muñoz, Gustavo",1928,Literatura colonial en Colombia,Imprenta Artística,,,,La Paz,,,,,,,,No verificado externamente,,"Otero Muñoz, Gustavo. (1928). Literatura colonial en Colombia. Imprenta Artística."
BIB-L-0040,Libro,"Pérez Kantule, Rubén",1928,Picture writings and other doccuments. Comparative Ethnological Studies,Etnografiska Museum,,,,Gotemburgo,,,,,,,,No verificado externamente,,"Pérez Kantule, Rubén. (1928). Picture writings and other doccuments. Comparative Ethnological Studies. Etnografiska Museum."
BIB-L-0041,Libro,"Monconil, Gaspar de",1929,"Excursión apostólica por los ríos Putumayo, San Miguel de Sucurnbios, Guayabero, Caquetá y Caguán",Imprenta Nacional,,,,Bogotá,,,,,,,,No verificado externamente,,"Monconil, Gaspar de. (1929). Excursión apostólica por los ríos Putumayo, San Miguel de Sucurnbios, Guayabero, Caquetá y Caguán. Imprenta Nacional."
BIB-L-0042,Libro,"Aragón, Arcesio",1930,Popayán,Imprenta del Departamento,,,,Popayán,,,,,,,,No verificado externamente,,"Aragón, Arcesio. (1930). Popayán. Imprenta del Departamento."
BIB-L-0043,Libro,"Oviedo, Basilio Vicente de",1930,Cualidades y riquezas del Nuevo Reino de Granada,Imprenta Nacional,,,,Bogotá,,,,,,,,No verificado externamente,,"Oviedo, Basilio Vicente de. (1930). Cualidades y riquezas del Nuevo Reino de Granada. Imprenta Nacional."
BIB-L-0044,Libro,"Res trepo, Antonio José",1930,De la tierra colombiana. El cancionero de Antioquia,Editorial Lux,,,,Barcelona,,,,,,,,No verificado externamente,,"Res trepo, Antonio José. (1930). De la tierra colombiana. El cancionero de Antioquia. Editorial Lux."
BIB-L-0045,Libro,"Restrepo, Antonio José",1930,El cancionero Antioqueño,Editorial Lux,,,,Barcelona,,,,,,,,No verificado externamente,,"Restrepo, Antonio José. (1930). El cancionero Antioqueño. Editorial Lux."
BIB-L-0046,Libro,"Ardish, J.",1932,Spanish american literature,"Holt, Rinehart & Winston",,,,New York,,,,,,,,No verificado externamente,,"Ardish, J.. (1932). Spanish american literature. Holt, Rinehart & Winston."
BIB-L-0047,Libro,"Otero D'Costa, Enrique",1932,Montañas de Santander,Imprenta del Departamento,,,,Bucaramanga,,,,,,,,No verificado externamente,,"Otero D'Costa, Enrique. (1932). Montañas de Santander. Imprenta del Departamento."
BIB-L-0048,Libro,"Otero D'Costa, Enrique",1932,Apuntes sobre demosofía colombiana y música nacional,Imprenta del Departamento,,,,Bucaramanga,,,,,,,,No verificado externamente,,"Otero D'Costa, Enrique. (1932). Apuntes sobre demosofía colombiana y música nacional. Imprenta del Departamento."
BIB-L-0049,Libro,"Creuss, Santiago",1933,Vocabulario samario o lexicografía de Santa Marta,Editorial Cromos,,,,Bogotá,,,,,,,,No verificado externamente,,"Creuss, Santiago. (1933). Vocabulario samario o lexicografía de Santa Marta. Editorial Cromos."
BIB-L-0050,Libro,"d'Costa, Enrique Otero",1934,Historietas (leyendas y tradiciones colombianas).,A. Zapata,,,,"Manizales, Colombia",,,,,,,,No verificado externamente,,"d'Costa, Enrique Otero. (1934). Historietas (leyendas y tradiciones colombianas).. A. Zapata."
BIB-L-0051,Libro,"D'Costa, Enrique Otero",1934,Leyendas,,,,,,,,,,,,,No verificado externamente,,"D'Costa, Enrique Otero. (1934). Leyendas."
BIB-L-0052,Libro,"d'Costa, Enrique Otero",1934,Historietas (leyendas y tradiciones colombianas).,Arturo Zapata.,,,,Colombia,,,,,,,,No verificado externamente,,"d'Costa, Enrique Otero. (1934). Historietas (leyendas y tradiciones colombianas).. Arturo Zapata.."
BIB-L-0053,Libro,"Robledo, Emilio",1934,"Paletas lexicograficas sobre provincialismos. (Locuciones, proverbios, adagios, refranes, modismos y frases proverbiales) de Antioquía y Caldas.","Imp. Oficial,",,,,Medellín,,,,,,,,No verificado externamente,,"Robledo, Emilio. (1934). Paletas lexicograficas sobre provincialismos. (Locuciones, proverbios, adagios, refranes, modismos y frases proverbiales) de Antioquía y Caldas.. Imp. Oficial,."
BIB-L-0054,Libro,"Tascón, Leonardo",1934,Quechuismos usados en Colombia,Editorial Santafé,,,,Bogotá,,,,,,,,No verificado externamente,,"Tascón, Leonardo. (1934). Quechuismos usados en Colombia. Editorial Santafé."
BIB-L-0055,Libro,"Arical, Juan F.",1935,Provincialismos de América del Sur septentrional,Editorial Patriótica,,,,Barquisimeto,,,,,,,,No verificado externamente,,"Arical, Juan F.. (1935). Provincialismos de América del Sur septentrional. Editorial Patriótica."
BIB-L-0056,Libro,"Assistant, Editorial",1935,The Journal of Latin American and Caribbean Anthropology,University of California Press for the American Anthropological Association,,,,,,,,,,,,No verificado externamente,,"Assistant, Editorial. (1935). The Journal of Latin American and Caribbean Anthropology. University of California Press for the American Anthropological Association."
BIB-L-0057,Libro,"Babb, Florence",1935,The Journal of Latin American and Caribbean Anthropology,University of California Press for the American Anthropological Association,,,,,,,,,,,,No verificado externamente,,"Babb, Florence. (1935). The Journal of Latin American and Caribbean Anthropology. University of California Press for the American Anthropological Association."
BIB-L-0058,Libro,"Board, Editorial",1935,The Journal of Latin American and Caribbean Anthropology,University of California Press for the American Anthropological Association,,,,,,,,,,,,No verificado externamente,,"Board, Editorial. (1935). The Journal of Latin American and Caribbean Anthropology. University of California Press for the American Anthropological Association."
BIB-L-0059,Libro,"Collins, John",1935,The Journal of Latin American and Caribbean Anthropology,University of California Press for the American Anthropological Association,,,,,,,,,,,,No verificado externamente,,"Collins, John. (1935). The Journal of Latin American and Caribbean Anthropology. University of California Press for the American Anthropological Association."
BIB-L-0060,Libro,"Diaz, Ayora",1935,The Journal of Latin American and Caribbean Anthropology,University of California Press for the American Anthropological Association,,,,,,,,,,,,No verificado externamente,,"Diaz, Ayora. (1935). The Journal of Latin American and Caribbean Anthropology. University of California Press for the American Anthropological Association."
BIB-L-0061,Libro,"Editor, Book Review",1935,The Journal of Latin American and Caribbean Anthropology,University of California Press for the American Anthropological Association,,,,,,,,,,,,No verificado externamente,,"Editor, Book Review. (1935). The Journal of Latin American and Caribbean Anthropology. University of California Press for the American Anthropological Association."
BIB-L-0062,Libro,"Mansfeld, Colloredo",1935,The Journal of Latin American and Caribbean Anthropology,University of California Press for the American Anthropological Association,,,,,,,,,,,,No verificado externamente,,"Mansfeld, Colloredo. (1935). The Journal of Latin American and Caribbean Anthropology. University of California Press for the American Anthropological Association."
BIB-L-0063,Libro,"Ortiz, Sergio Elías",1935,Las comunidades indígenas de Jamondino y Males,Imprenta del Departamento,,,,Pasto,,,,,,,,No verificado externamente,,"Ortiz, Sergio Elías. (1935). Las comunidades indígenas de Jamondino y Males. Imprenta del Departamento."
BIB-L-0064,Libro,"Tascón, Leonardo",1935,Diccionario de provincialismos y barbarismos del Valle del Cauca,Editorial Santafé,,,,Bogotá,,,,,,,,No verificado externamente,,"Tascón, Leonardo. (1935). Diccionario de provincialismos y barbarismos del Valle del Cauca. Editorial Santafé."
BIB-L-0065,Libro,"Valenzuela, Francisco",1935,The Journal of Latin American and Caribbean Anthropology,University of California Press for the American Anthropological Association,,,,Oakland,,,,,,,,No verificado externamente,,"Valenzuela, Francisco. (1935). The Journal of Latin American and Caribbean Anthropology. University of California Press for the American Anthropological Association."
BIB-L-0066,Libro,"Hernández de Alba, Gregorio",1936,Etnología Guajira,Editorial ABC,,,,Bogotá,,,,,,,,No verificado externamente,,"Hernández de Alba, Gregorio. (1936). Etnología Guajira. Editorial ABC."
BIB-L-0067,Libro,"Moure, Jose Maria Cordovez.",1936,De la vida de Artaño,"Ed. Minerva,",,,,Bogotá,,,,,,,,No verificado externamente,,"Moure, Jose Maria Cordovez.. (1936). De la vida de Artaño. Ed. Minerva,."
BIB-L-0068,Libro,"Otero, José María Quijano",1936,Leyendas,"Minerva,",,,,Bogotá,,,,,,,,No verificado externamente,,"Otero, José María Quijano. (1936). Leyendas. Minerva,."
BIB-L-0069,Libro,"Toledo, Luis Capella",1936,"Leyendas de José María Quijano Otero, Luis Capella Toledo, Camilo S. Delgado y Manuel José Forero.","Editorial Minerva,",,,,Bogotá,,,,,,,,No verificado externamente,,"Toledo, Luis Capella. (1936). Leyendas de José María Quijano Otero, Luis Capella Toledo, Camilo S. Delgado y Manuel José Forero.. Editorial Minerva,."
BIB-L-0070,Libro,Anónimo,1937,Coplas de la región de Vélez,Colección Samper Ortega,,,,Bogotá,,,,,,,,No verificado externamente,,Anónimo. (1937). Coplas de la región de Vélez. Colección Samper Ortega.
BIB-L-0071,Libro,Anónimo,1937,Coplas del cancionero antioqueño,Colección Samper Ortega,,,,Bogotá,,,,,,,,No verificado externamente,,Anónimo. (1937). Coplas del cancionero antioqueño. Colección Samper Ortega.
BIB-L-0072,Libro,"Bahlis, Jorge",1937,Religiones amerindias,Academia de Letras do Rio Grande do Sul,,,,Porto Alegre,,,,,,,,No verificado externamente,,"Bahlis, Jorge. (1937). Religiones amerindias. Academia de Letras do Rio Grande do Sul."
BIB-L-0073,Libro,"Moure, José María Cordovez",1937,De la vida de antaño,"Editorial Minerva,",,,,Bogotá,,,,,,,,No verificado externamente,,"Moure, José María Cordovez. (1937). De la vida de antaño. Editorial Minerva,."
BIB-L-0074,Libro,"Narváez, Enrique de",1937,Los mochuelos,"Editorial Minerva,",,,,Bogotá,,,,,,,,No verificado externamente,,"Narváez, Enrique de. (1937). Los mochuelos. Editorial Minerva,."
BIB-L-0075,Libro,"Pardal, Ramón",1937,Medicina aborigen americana,Nova,,,,Buenos Aires,,,,,,,,No verificado externamente,,"Pardal, Ramón. (1937). Medicina aborigen americana. Nova."
BIB-L-0076,Libro,"Peñuela, Cayo Leonidas",1937,Boyacá,"Minerva,",,,,Bogotá,,,,,,,,No verificado externamente,,"Peñuela, Cayo Leonidas. (1937). Boyacá. Minerva,."
BIB-L-0077,Libro,"Peñuela, Cayo Leónidas",1937,Boyacá,"Editorial Minerva,",,,,Bogotá,,,,,,,,No verificado externamente,,"Peñuela, Cayo Leónidas. (1937). Boyacá. Editorial Minerva,."
BIB-L-0078,Libro,"Pérez Arbeláez, Enrique",1937,"Plantas medicinales y venenosas de Colombia. Estudio botánico, farmacéutico, veterinario y forense",Editorial Cromos,,,,Bogotá,,,,,,,,No verificado externamente,,"Pérez Arbeláez, Enrique. (1937). Plantas medicinales y venenosas de Colombia. Estudio botánico, farmacéutico, veterinario y forense. Editorial Cromos."
BIB-L-0079,Libro,"Quiñones Pardo, Octavio",1937,Cantares de Boyacá,Editorial Antena,,,,Bogotá,,,,,,,,No verificado externamente,,"Quiñones Pardo, Octavio. (1937). Cantares de Boyacá. Editorial Antena."
BIB-L-0080,Libro,"Clark, A. L.",1938,"The feast of Yowarí: Notes on the ""out burial"" feast as practised still among Venezuelan lndians Motilone Aruak of Perijá, Zulia",Empresa Deits,,,,Maracaibo,,,,,,,,No verificado externamente,,"Clark, A. L.. (1938). The feast of Yowarí: Notes on the ""out burial"" feast as practised still among Venezuelan lndians Motilone Aruak of Perijá, Zulia. Empresa Deits."
BIB-L-0081,Libro,"Janasoy, M.",1938,"Apuntes sobre la vida, costumbres y medicamentos de los del Valle de Sibundoy",,,,,Barranquilla,,,,,,,,No verificado externamente,,"Janasoy, M.. (1938). Apuntes sobre la vida, costumbres y medicamentos de los del Valle de Sibundoy."
BIB-L-0082,Libro,"Kells, Elsie",1938,Tales from Amazon,"Dodd, Mead and Co.",,,,Nueva York,,,,,,,,No verificado externamente,,"Kells, Elsie. (1938). Tales from Amazon. Dodd, Mead and Co.."
BIB-L-0083,Libro,"Nordenskiold, Erland",1938,An Historical and ethnological survey of the Cuna lndians,"Ethnological Studies, 10",,,,Gotemburgo,,,,,,,,No verificado externamente,,"Nordenskiold, Erland. (1938). An Historical and ethnological survey of the Cuna lndians. Ethnological Studies, 10."
BIB-L-0084,Libro,"León Rey, José Antonio",1939,Juan Lanas o vida del pueblo,Escuelas Gráficas Salesianas,,,,Bogotá,,,,,,,,No verificado externamente,,"León Rey, José Antonio. (1939). Juan Lanas o vida del pueblo. Escuelas Gráficas Salesianas."
BIB-L-0085,Libro,"León Rey, José Antonio",1939,La mujer en el hogar campesino,Editorial Centro,,,,Bogotá,,,,,,,,No verificado externamente,,"León Rey, José Antonio. (1939). La mujer en el hogar campesino. Editorial Centro."
BIB-L-0086,Libro,"Quiñones, Elvira. Sarmiento de",1939,La leyenda de los Boches : en el IV centenario de Tunja,"Imprenta Departamental,",,,,Tunja,,,,,,,,No verificado externamente,,"Quiñones, Elvira. Sarmiento de. (1939). La leyenda de los Boches : en el IV centenario de Tunja. Imprenta Departamental,."
BIB-L-0087,Libro,"Sarmiento de Quiñones, Elvira",1939,Leyenda de los Boches,Imprenta Departamental,,,,Tunja,,,,,,,,No verificado externamente,,"Sarmiento de Quiñones, Elvira. (1939). Leyenda de los Boches. Imprenta Departamental."
BIB-L-0088,Libro,"Eloy, Rodulfo",1940,Poesía popular del norte de Santander : coplas y ensaladillas,Imprenta del Departamento,,,,Cúcuta,,,,,,,,No verificado externamente,,"Eloy, Rodulfo. (1940). Poesía popular del norte de Santander : coplas y ensaladillas. Imprenta del Departamento."
BIB-L-0089,Libro,"Eloy, Rodulfo",1940,Poesía popular del norte de Santander : coplas y ensaladillas,Impr. del Departamento,,,,Cúcuta,,,,,,,,No verificado externamente,,"Eloy, Rodulfo. (1940). Poesía popular del norte de Santander : coplas y ensaladillas. Impr. del Departamento."
BIB-L-0090,Libro,"Eloy, Rodulfo y Miguel U.",1940,Poesía popular del Norte de Santander,Imprenta Departamental,,,,Cúcuta,,,,,,,,No verificado externamente,,"Eloy, Rodulfo y Miguel U.. (1940). Poesía popular del Norte de Santander. Imprenta Departamental."
BIB-L-0091,Libro,"Igualada, Bartolomé de",1940,Choni: Drama folclórico-histórico de los indígenas del Bajo Caquetá,Tipografía Salesiana,,,,Bogotá,,,,,,,,No verificado externamente,,"Igualada, Bartolomé de. (1940). Choni: Drama folclórico-histórico de los indígenas del Bajo Caquetá. Tipografía Salesiana."
BIB-L-0092,Libro,"Sánchez Montenegro, Víctor",1940,Los comuneros del Sur: Historia y folclor nariñenses,Imprenta del Departamento,,,,Pasto,,,,,,,,No verificado externamente,,"Sánchez Montenegro, Víctor. (1940). Los comuneros del Sur: Historia y folclor nariñenses. Imprenta del Departamento."
BIB-L-0093,Libro,"Arenas Mantilla, Vicente",1941,Estampas de mi tierra,Imprenta del departamento,,,,Bucaramanga,,,,,,,,No verificado externamente,,"Arenas Mantilla, Vicente. (1941). Estampas de mi tierra. Imprenta del departamento."
BIB-L-0094,Libro,"Hernández Mesa, Mauro",1941,Nuestras plantas medicinales,Editorial Arturo Zapata,,,,Manizales,,,,,,,,No verificado externamente,,"Hernández Mesa, Mauro. (1941). Nuestras plantas medicinales. Editorial Arturo Zapata."
BIB-L-0095,Libro,"Hernández Meza, Mauro",1941,Nuestras plantas medicinales,Editorial Arturo Zapata,,,,Manizales,,,,,,,,No verificado externamente,,"Hernández Meza, Mauro. (1941). Nuestras plantas medicinales. Editorial Arturo Zapata."
BIB-L-0096,Libro,"Reyes Archila, Carlos",1941,Diccionario de Mitologías,Imprenta Oficial,,,,Tunja,,,,,,,,No verificado externamente,,"Reyes Archila, Carlos. (1941). Diccionario de Mitologías. Imprenta Oficial."
BIB-L-0097,Libro,"Acuña, Luis Alberto",1942,El arte de los indios colombianos,Tipografía Salesiana,,,,Bogotá,,,,,,,,No verificado externamente,,"Acuña, Luis Alberto. (1942). El arte de los indios colombianos. Tipografía Salesiana."
BIB-L-0098,Libro,"Ancízar, Manuel",1942,Peregrinación de Alpha,Biblioteca Popular de Cultura Colombiana,,,,Bogotá,,,,,,,,No verificado externamente,,"Ancízar, Manuel. (1942). Peregrinación de Alpha. Biblioteca Popular de Cultura Colombiana."
BIB-L-0099,Libro,"antamaría, Francisco J.",1942,Diccionario General de Americanismos,Pedro Robledo,,,,México,,,,,,,,No verificado externamente,,"antamaría, Francisco J.. (1942). Diccionario General de Americanismos. Pedro Robledo."
BIB-L-0100,Libro,"Arias, Juan de Dios",1942,Folclore Santandereano. Tomo I,Imprenta del Departamento,,,,Bucaramanga,,,,,,,,No verificado externamente,,"Arias, Juan de Dios. (1942). Folclore Santandereano. Tomo I. Imprenta del Departamento."
BIB-L-0101,Libro,"Arias, Juan de Dios",1942,Folclore Santandereano. Tomo II,Imprenta del Departamento,,,,Bucaramanga,,,,,,,,No verificado externamente,,"Arias, Juan de Dios. (1942). Folclore Santandereano. Tomo II. Imprenta del Departamento."
BIB-L-0102,Libro,"Bernal, Jose. Umaña",1942,Decimas de luz y yelo.,"Colombia,",,,,Bogotá,,,,,,,,No verificado externamente,,"Bernal, Jose. Umaña. (1942). Decimas de luz y yelo.. Colombia,."
BIB-L-0103,Libro,"Cortázar, Augusto Raúl",1942,Bosquejos de una introducción al folclore,Miguel Violetto,,,,Tucumán,,,,,,,,No verificado externamente,,"Cortázar, Augusto Raúl. (1942). Bosquejos de una introducción al folclore. Miguel Violetto."
BIB-L-0104,Libro,"León Rey, José Antonio",1942,Tierra embrujada,Editorial Centro,,,,Bogotá,,,,,,,,No verificado externamente,,"León Rey, José Antonio. (1942). Tierra embrujada. Editorial Centro."
