Corpus ID,Slug,Título,Macro tipo,Género,Año de recolección,Municipio o localidad,Departamento,Región provisional,Recolector,Tipo de fuente,Fuente bibliográfica ID,Autor de la fuente,Título de la fuente,Año de la fuente,URL de la fuente,Estado de derechos,Estado de privacidad,Estado de publicación,Alertas de calidad
CLTC-0011-L,vos-que-no-tenes-a-nadie-cltc-0011-l,Vos que no tenés a nadie,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,,Boyacá,Andina,Octavio Quiñones Pardo,Artículo de revista,BIB-A-0330,"Quiñones Pardo, Octavio",Diez coplas y un proyecto de ley,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Falta localización
CLTC-0012-L,que-les-hijos-al-nacer-cltc-0012-l,Que les hijos al nacer,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,,Boyacá,Andina,Octavio Quiñones Pardo,Artículo de revista,BIB-A-0330,"Quiñones Pardo, Octavio",Diez coplas y un proyecto de ley,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Falta localización
CLTC-0013-L,me-llevan-pa-cartagena-cltc-0013-l,Me llevan pa Cartagena,Lírica,Estrofa de cuatro versos — clasificación abierta,1929,,Antioquia,Andina,Antonio José Restrepo,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Falta localización; Fuente bibliográfica: sin coincidencia
CLTC-0014-L,dame-nina-un-poco-de-agua-cltc-0014-l,"Dame, niña, un poco de agua",Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Fuente bibliográfica: sin coincidencia
CLTC-0015-L,dame-un-besito-mi-vida-cltc-0015-l,"Dame un besito, mi vida",Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Fuente bibliográfica: sin coincidencia
CLTC-0016-L,mira-negra-te-equivocas-cltc-0016-l,"Mira, negra, te equivocas",Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Fuente bibliográfica: sin coincidencia
CLTC-0017-L,me-llevan-pa-cartagena-cltc-0017-l,Me llevan pa Cartagena,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,,Antioquia,Andina,Antonio José Restrepo,Artículo de revista,,Del folklore sinuano y bolivarence,"Exbrayat, Jaime",1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Falta localización; Fuente bibliográfica: sin coincidencia
CLTC-0018-L,estoy-queriendo-a-una-negra-cltc-0018-l,Estoy queriendo a una negra,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,,Antioquia,Andina,Antonio José Restrepo,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Falta localización; Fuente bibliográfica: sin coincidencia
CLTC-0019-L,quien-bebe-agua-en-calabazo-cltc-0019-l,Quien bebe agua en calabazo,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,,Antioquia,Andina,Antonio José Restrepo,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Falta localización; Fuente bibliográfica: sin coincidencia
CLTC-0020-L,estoy-queriendo-a-una-negra-cltc-0020-l,Estoy queriendo a una negra,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Fuente bibliográfica: sin coincidencia
CLTC-0021-L,quien-bebe-agua-en-vijaguara-cltc-0021-l,Quien bebe agua en vijaguara,Lírica,Sin clasificación,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Falta género/forma; Fuente bibliográfica: sin coincidencia
CLTC-0022-L,me-dices-que-eres-muy-firme-cltc-0022-l,Me dices que eres muy firme,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Fuente bibliográfica: sin coincidencia
CLTC-0023-L,ya-mis-perros-se-murieron-cltc-0023-l,Ya mis perros se murieron,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Fuente bibliográfica: sin coincidencia
CLTC-0024-L,tan-linda-que-esta-la-noche-cltc-0024-l,Tan linda que está la noche,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Fuente bibliográfica: sin coincidencia
CLTC-0025-L,esta-noche-es-nochebuena-cltc-0025-l,Esta Noche es Nochebuena,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Fuente bibliográfica: sin coincidencia
CLTC-0026-L,por-debajo-mi-caballo-cltc-0026-l,"Por debajo, mi caballo",Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Fuente bibliográfica: sin coincidencia
CLTC-0027-L,a-mi-no-me-asustan-truenos-cltc-0027-l,A mí no me asustan truenos,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Fuente bibliográfica: sin coincidencia
CLTC-0028-L,mudanzas-tiene-la-vida-cltc-0028-l,Mudanzas tiene la vida,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Fuente bibliográfica: sin coincidencia
CLTC-0029-L,el-toro-llama-a-la-vaca-cltc-0029-l,El toro llama a la vaca,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Fuente bibliográfica: sin coincidencia
CLTC-0030-L,quien-ve-el-tigre-y-no-lo-mata-cltc-0030-l,¿Quién ve el tigre y no lo mata?,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Fuente bibliográfica: sin coincidencia
CLTC-0031-L,desde-aqui-te-estoy-mirando-cltc-0031-l,Desde aquí te estoy mirando,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Fuente bibliográfica: sin coincidencia
CLTC-0032-L,son-a-veces-los-amigos-cltc-0032-l,Son a veces los amigos,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Fuente bibliográfica: sin coincidencia
CLTC-0033-L,orilla-de-cano-sucio-cltc-0033-l,Orilla de caño sucio,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Fuente bibliográfica: sin coincidencia
CLTC-0034-L,la-candela-en-la-sabana-cltc-0034-l,La candela en la Sabana,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Fuente bibliográfica: sin coincidencia
CLTC-0035-L,el-perro-mocho-de-rabo-cltc-0035-l,El perro mocho de rabo,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Fuente bibliográfica: sin coincidencia
CLTC-0036-L,a-mi-me-llaman-calores-cltc-0036-l,"A mí me llaman ""Calores""",Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,Jaime Exbrayat,Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Fuente bibliográfica: sin coincidencia
CLTC-0037-L,pobrecita-la-paloma-cltc-0037-l,"Pobrecita, la paloma",Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Fuente bibliográfica: sin coincidencia
CLTC-0038-L,lo-que-a-mi-me-esta-pasando-cltc-0038-l,Lo que a mí me está pasando,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Fuente bibliográfica: sin coincidencia
CLTC-0039-L,si-la-caracucha-fuera-cltc-0039-l,Si la caracucha fuera,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Fuente bibliográfica: sin coincidencia
CLTC-0040-L,las-horas-que-tiene-el-dia-cltc-0040-l,Las horas que tiene el día,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,"Exbrayat, Jaime",Jaime Exbrayat,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Fuente bibliográfica: sin coincidencia
CLTC-0041-L,una-pena-y-otra-pena-cltc-0041-l,Una pena y otra pena,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Fuente bibliográfica: sin coincidencia
CLTC-0042-L,anoche-sone-contigo-cltc-0042-l,Anoche soñé contigo,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Fuente bibliográfica: sin coincidencia
CLTC-0043-L,debes-tomarte-unos-tragos-cltc-0043-l,Debes tomarte unos tragos,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Fuente bibliográfica: sin coincidencia
CLTC-0044-L,yo-no-soy-cantor-de-a-trago-cltc-0044-l,Yo no soy cantor de a trago,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Fuente bibliográfica: sin coincidencia
CLTC-0045-L,yo-no-canto-porque-se-cltc-0045-l,Yo no canto porque sé,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Fuente bibliográfica: sin coincidencia
CLTC-0046-L,yo-no-canto-porque-se-cltc-0046-l,Yo no canto porque sé,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Fuente bibliográfica: sin coincidencia
CLTC-0047-L,yo-no-canto-porque-si-cltc-0047-l,Yo no canto porque sí,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Fuente bibliográfica: sin coincidencia
CLTC-0048-L,yo-no-canto-con-perrico-cltc-0048-l,Yo no canto con perrico,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Región del Sinú,Córdoba,Caribe,Jaime Exbrayat,Artículo de revista,,"Exbrayat, Jaime",Del folklore sinuano y bolivarence,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Fuente bibliográfica: sin coincidencia
CLTC-0049-L,los-cotudos-de-rucuaga-cltc-0049-l,Los cotudos de Rucuaga,Lírica,Estrofa de cuatro versos — clasificación abierta,2018,Jericó,Boyacá,Andina,Adrián Freja,Trabajo de campo sin publicar,,,,,,Revisión de derechos y acuerdos de campo pendiente,Revisar consentimiento e identidad del informante,"No publicar el texto hasta validar consentimiento, privacidad y acuerdos de campo",
CLTC-0050-L,yo-no-me-caso-con-viuda-cltc-0050-l,Yo no me caso con viuda,Lírica,Estrofa de cuatro versos — clasificación abierta,2018,Jericó,Boyacá,Andina,Adrián Freja,Trabajo de campo sin publicar,,,,,,Revisión de derechos y acuerdos de campo pendiente,Revisar consentimiento e identidad del informante,"No publicar el texto hasta validar consentimiento, privacidad y acuerdos de campo",
CLTC-0051-L,el-que-enamora-casadas-cltc-0051-l,El que enamora casadas,Lírica,Estrofa de cuatro versos — clasificación abierta,2018,Jericó,Boyacá,Andina,Adrián Freja,Trabajo de campo sin publicar,,,,,,Revisión de derechos y acuerdos de campo pendiente,Revisar consentimiento e identidad del informante,"No publicar el texto hasta validar consentimiento, privacidad y acuerdos de campo",
CLTC-0052-L,yo-soy-el-cordero-mocho-cltc-0052-l,Yo soy el cordero mocho,Lírica,Estrofa de cuatro versos — clasificación abierta,2018,Jericó,Boyacá,Andina,Adrián Freja,Trabajo de campo sin publicar,,,,,,Revisión de derechos y acuerdos de campo pendiente,Revisar consentimiento e identidad del informante,"No publicar el texto hasta validar consentimiento, privacidad y acuerdos de campo",
CLTC-0053-L,el-que-se-casa-con-viuda-cltc-0053-l,El que se casa con viuda,Lírica,Estrofa de cuatro versos — clasificación abierta,2018,Jericó,Boyacá,Andina,Adrián Freja,Trabajo de campo sin publicar,,,,,,Revisión de derechos y acuerdos de campo pendiente,Revisar consentimiento e identidad del informante,"No publicar el texto hasta validar consentimiento, privacidad y acuerdos de campo",
CLTC-0054-L,dichoso-el-hombre-casao-cltc-0054-l,Dichoso el hombre casao,Lírica,Estrofa de cuatro versos — clasificación abierta,2018,Jericó,Boyacá,Andina,Adrián Freja,Trabajo de campo sin publicar,,,,,,Revisión de derechos y acuerdos de campo pendiente,Revisar consentimiento e identidad del informante,"No publicar el texto hasta validar consentimiento, privacidad y acuerdos de campo",
CLTC-0055-L,ayer-tarde-fui-a-traer-lena-cltc-0055-l,Ayer tarde fui a traer leña,Lírica,Estrofa de cuatro versos — clasificación abierta,2018,Jericó,Boyacá,Andina,Adrián Freja,Trabajo de campo sin publicar,,,,,,Revisión de derechos y acuerdos de campo pendiente,Revisar consentimiento e identidad del informante,"No publicar el texto hasta validar consentimiento, privacidad y acuerdos de campo",
CLTC-0056-L,mamita-no-me-regane-cltc-0056-l,"Mamita, no me regañe",Lírica,Estrofa de cuatro versos — clasificación abierta,2018,Jericó,Boyacá,Andina,Adrián Freja,Trabajo de campo sin publicar,,,,,,Revisión de derechos y acuerdos de campo pendiente,Revisar consentimiento e identidad del informante,"No publicar el texto hasta validar consentimiento, privacidad y acuerdos de campo",
CLTC-0057-L,mi-mamita-estaba-brava-cltc-0057-l,Mi mamita estaba brava,Lírica,Estrofa de cuatro versos — clasificación abierta,2018,Jericó,Boyacá,Andina,Adrián Freja,Trabajo de campo sin publicar,,,,,,Revisión de derechos y acuerdos de campo pendiente,Revisar consentimiento e identidad del informante,"No publicar el texto hasta validar consentimiento, privacidad y acuerdos de campo",
CLTC-0058-L,la-mujer-que-vive-sola-cltc-0058-l,La mujer que vive sola,Lírica,Estrofa de cuatro versos — clasificación abierta,2018,Jericó,Boyacá,Andina,Adrián Freja,Trabajo de campo sin publicar,,,,,,Revisión de derechos y acuerdos de campo pendiente,Revisar consentimiento e identidad del informante,"No publicar el texto hasta validar consentimiento, privacidad y acuerdos de campo",
